date,population,admission,release,los_1_day,los_2-3_days,los_4-7_days,los_8-14_days,los_15-30_days,los_31-60_days,los_61-90_days,los_91-182_days,los_183-365_days,los_365+_days
2022-04-21,129122.88748035778,3141.7018730071886,3664.437360469639,0,0,0,0,0,0,0,0,0,0
2022-04-22,128914.26310400642,3453.146317451633,2884.020693802972,0,0,0,0,0,0,0,0,0,0
2022-04-23,129514.88872765508,3485.396317451633,1483.2706938029721,0,0,0,0,0,0,0,0,0,0
2022-04-24,130207.51435130373,2177.396317451632,1808.2706938029717,0,0,0,0,0,0,0,0,0,0
2022-04-25,130588.63997495243,2186.6820317373467,4279.170693802973,0,0,0,0,0,0,0,0,0,0
2022-04-26,129774.56559860108,3463.98917459449,3267.242122374401,0,0,0,0,0,0,0,0,0,0
2022-04-27,129702.31265082116,3196.98917459449,3693.408789041068,0,0,0,0,0,0,0,0,0,0
2022-04-28,129431.72636970792,3422.822507927823,3590.408789041068,0,0,0,0,0,0,0,0,0,0
2022-04-29,129056.30675526132,3211.1002857056005,3415.9976779299564,0,0,0,0,0,0,0,0,0,0
2022-04-30,129361.69825192586,3722.1891745944895,1354.4515240838023,0,0,0,0,0,0,0,0,0,0
2022-05-01,130102.58974859041,2095.6891745944895,1570.9153249887795,0,0,0,0,0,0,0,0,0,0
2022-05-02,130530.31457858828,2000.5225079278225,4011.7976779299565,0,0,0,0,0,0,0,0,0,0
2022-05-03,129589.7060752528,3071.1891745944895,3255.2976779299565,0,0,0,0,0,0,0,0,0,0
2022-05-04,129593.59757191734,3259.1891745944895,3881.5476779299565,0,0,0,0,0,0,0,0,0,0
2022-05-05,129160.53906858187,3449.1558412611566,3585.7143445966235,0,0,0,0,0,0,0,0,0,0
2022-05-06,129158.81389857973,3583.98917459449,3002.7143445966235,0,0,0,0,0,0,0,0,0,0
2022-05-07,129241.58872857763,3085.48917459449,1517.047677929956,0,0,0,0,0,0,0,0,0,0
2022-05-08,130151.36355857545,2426.0725079278227,1660.422677929956,0,0,0,0,0,0,0,0,0,0
2022-05-09,130537.51338857335,2046.5725079278225,3844.7560112632896,0,0,0,0,0,0,0,0,0,0
2022-05-10,129703.49655190452,3011.405841261156,3653.6291996690875,0,0,0,0,0,0,0,0,0,0
2022-05-11,129492.2623239314,3442.8949716959387,3330.6462337372236,0,0,0,0,0,0,0,0,0,0
2022-05-12,129207.98601178994,3049.8639095716903,3308.473555046508,0,0,0,0,0,0,0,0,0,0
2022-05-13,128993.20969964843,3092.0177557255365,3068.6469632862086,0,0,0,0,0,0,0,0,0,0
2022-05-14,129386.94462346198,3464.377392717757,1397.142468904186,0,0,0,0,0,0,0,0,0,0
2022-05-15,130352.67954727558,2362.877392717758,1491.872981153629,0,0,0,0,0,0,0,0,0,0
2022-05-16,131021.67022461549,2171.345841121618,3646.7301637816918,0,0,0,0,0,0,0,0,0,0
2022-05-17,130514.03590195542,3138.595841121618,3518.047993239056,0,0,0,0,0,0,0,0,0,0
